Image no.,"Date Time, GMT-07:00",Pt 1 (x),Pt 1 (y),Pt 2 (x),Pt 2 (y)
1,2022-07-23 16:00:06,1907.29,2388.27,2042.61,2408.02
2,2022-07-23 17:00:06,1907.16,2388.47,2043.24,2408.44
3,2022-07-23 18:00:06,1908.67,2388.71,2043.87,2408.65
4,2022-07-23 19:00:06,1908.19,2388.55,2045.24,2407.7
5,2022-07-23 20:00:06,1908.31,2388.93,2044.92,2408.02
6,2022-07-23 21:00:06,1907.04,2389.94,2043.66,2410.02
7,2022-07-23 22:00:06,1906.46,2389.29,2043.98,2410.44
8,2022-07-23 23:00:06,1905.59,2389.44,2043.13,2410.55
9,2022-07-24 06:00:05,1905.69,2389.95,2043.66,2410.97
10,2022-07-24 07:00:05,1906.69,2388.8,2042.08,2410.44
11,2022-07-24 15:00:06,1905.87,2388.9,2043.45,2409.91
12,2022-07-24 16:00:06,1906.77,2388.35,2043.66,2408.97
13,2022-07-24 17:00:06,1907.49,2388.24,2044.19,2408.33
14,2022-07-24 18:00:06,1907.63,2389.2,2044.71,2409.91
15,2022-07-24 19:00:06,1906.77,2389.97,2043.34,2410.44
16,2022-07-24 20:00:06,1907.16,2390.52,2043.45,2410.76
17,2022-07-24 21:00:06,1907.1,2389.98,2042.82,2410.86
18,2022-07-24 22:00:06,1906.95,2389.99,2044.4,2411.28
19,2022-07-24 23:00:05,1906.67,2389.28,2044.29,2410.76
20,2022-07-25 05:00:05,1906.75,2391.11,2043.66,2411.49
21,2022-07-25 06:00:05,1906.9,2389.24,2042.29,2411.18
22,2022-07-25 13:00:05,1904.02,2389.1,2042.61,2410.65
23,2022-07-25 14:00:05,1905.23,2389.7,2043.03,2410.34
24,2022-07-25 15:00:05,1906.16,2390.12,2042.82,2411.07
25,2022-07-25 16:00:05,1906.5,2390.27,2042.29,2411.6
26,2022-07-25 17:00:06,1907.12,2390.35,2043.66,2411.18
27,2022-07-25 18:00:06,1907.37,2390.27,2043.13,2411.49
28,2022-07-25 19:00:06,1908.04,2390.14,2043.55,2410.34
29,2022-07-25 20:00:06,1907.48,2390.3,2043.45,2411.28
30,2022-07-25 21:00:06,1907.12,2390.3,2045.66,2411.81
31,2022-07-25 22:00:06,1905.63,2391.04,2043.66,2412.02
32,2022-07-25 23:00:06,1906.92,2389.63,2044.61,2411.6
33,2022-07-26 06:00:05,1906.37,2388.97,2043.34,2411.92
34,2022-07-26 07:00:05,1906.18,2389.02,2043.13,2411.18
35,2022-07-26 08:00:05,1903.43,2389.96,2043.34,2410.97
36,2022-07-26 09:00:05,1903.18,2389.96,2042.18,2410.55
37,2022-07-26 10:00:05,1902.16,2390.22,2041.76,2410.97
38,2022-07-26 11:00:05,1901.9,2390.35,2043.87,2410.76
39,2022-07-26 12:00:05,1902.91,2389.44,2043.55,2410.86
40,2022-07-26 13:00:05,1904.74,2389.61,2043.87,2410.65
41,2022-07-26 14:00:05,1905.49,2390.07,2042.39,2410.65
42,2022-07-26 15:00:05,1906.12,2390.06,2041.76,2410.76
43,2022-07-26 16:00:05,1906.84,2389.9,2042.92,2410.97
44,2022-07-26 17:00:05,1906.92,2389.68,2043.03,2411.6
45,2022-07-26 18:00:05,1907.08,2389.98,2045.24,2411.18
46,2022-07-26 19:00:06,1907.3,2389.94,2044.82,2411.18
47,2022-07-26 20:00:06,1907.5,2389.89,2045.14,2411.28
48,2022-07-26 21:00:06,1906.96,2390.69,2042.82,2412.34
49,2022-07-26 22:00:06,1906.89,2390.7,2043.66,2412.23
50,2022-07-26 23:00:06,1906.96,2390.82,2042.61,2412.86
51,2022-07-27 06:00:05,1906.8,2390.86,2042.92,2413.29
52,2022-07-27 07:00:05,1906.21,2390.66,2042.61,2413.18
53,2022-07-27 08:00:05,1906.29,2390.57,2042.92,2412.55
54,2022-07-27 09:00:05,1906.32,2390.8,2043.24,2412.34
55,2022-07-27 10:00:05,1906.66,2390.48,2042.61,2412.13
56,2022-07-27 11:00:05,1905.4,2390.43,2042.61,2411.71
57,2022-07-27 12:00:05,1905.96,2390.55,2043.87,2412.65
58,2022-07-27 13:00:05,1905.71,2390.55,2042.82,2412.34
59,2022-07-27 14:00:05,1906.2,2390.85,2042.92,2412.13
60,2022-07-27 15:00:05,1906.69,2390.38,2042.61,2412.44
61,2022-07-27 16:00:05,1906.79,2390.92,2043.98,2412.65
62,2022-07-27 17:00:05,1905.94,2390.82,2043.98,2413.29
63,2022-07-27 18:00:05,1905.75,2391,2044.29,2413.08
64,2022-07-27 19:00:05,1906.75,2391,2042.18,2412.34
65,2022-07-27 20:00:05,1906.3,2391.02,2042.18,2412.55
66,2022-07-27 21:00:06,1906.22,2390.89,2043.45,2412.44
67,2022-07-27 22:00:06,1906.74,2391.01,2042.61,2412.76
68,2022-07-27 23:00:06,1906.84,2391.29,2041.76,2412.23
69,2022-07-28 06:00:06,1906.98,2391.17,2043.34,2412.65
70,2022-07-28 18:00:05,1908.15,2389.8,2043.13,2408.44
71,2022-07-28 19:00:05,1907.25,2390.55,2044.92,2411.49
72,2022-07-28 20:00:05,1907.44,2391.25,2043.55,2412.13
73,2022-07-28 21:00:05,1907.43,2391.14,2043.24,2412.02
74,2022-07-28 22:00:05,1907.39,2391.14,2042.82,2412.34
75,2022-07-29 14:00:05,1905.44,2390.5,2044.08,2410.65
76,2022-07-29 15:00:05,1905.75,2390.77,2042.71,2410.44
77,2022-07-29 16:00:05,1906.94,2390.05,2043.03,2409.39
78,2022-07-29 17:00:05,1907.34,2389.08,2043.34,2408.97
79,2022-07-29 18:00:05,1907.11,2390.25,2042.39,2410.34
80,2022-07-29 19:00:05,1908.14,2390.19,2044.19,2410.23
81,2022-07-29 20:00:05,1907.77,2389.89,2045.45,2411.39
82,2022-07-29 21:00:05,1906.72,2391.35,2042.82,2412.65
83,2022-07-29 22:00:05,1907.52,2391.16,2042.5,2412.55
84,2022-07-29 23:00:05,1907.5,2390.91,2042.82,2411.81
85,2022-07-30 06:00:06,1906.63,2391.02,2043.03,2412.23
86,2022-07-30 07:00:06,1905.74,2390.85,2041.97,2412.65
87,2022-07-30 08:00:06,1903.91,2390.75,2043.24,2411.92
88,2022-07-30 14:00:05,1905.05,2390.4,2041.13,2410.55
89,2022-07-30 15:00:05,1905.82,2390.99,2041.97,2411.07
90,2022-07-30 16:00:05,1906.64,2390.04,2042.82,2409.7
91,2022-07-30 17:00:05,1906.99,2390.42,2042.29,2410.44
92,2022-07-30 18:00:05,1907.24,2390.83,2043.34,2411.28
93,2022-07-30 19:00:05,1907.62,2391.31,2042.18,2411.71
94,2022-07-30 20:00:05,1906.37,2391.28,2043.45,2412.02
95,2022-07-30 21:00:05,1906.79,2391.63,2042.61,2412.02
96,2022-07-30 22:00:05,1906.76,2391.38,2042.29,2412.55
97,2022-07-30 23:00:05,1907.29,2391.22,2043.34,2412.13
98,2022-07-31 06:00:06,1906.39,2392.25,2041.66,2413.18
99,2022-07-31 07:00:06,1906.68,2392.24,2043.03,2413.08
100,2022-07-31 14:00:06,1905.82,2391.48,2044.19,2412.34
101,2022-07-31 15:00:05,1905.25,2391.79,2045.66,2413.71
102,2022-07-31 16:00:05,1906.46,2391.88,2045.56,2412.86
103,2022-07-31 17:00:05,1906.59,2391.67,2046.29,2413.08
104,2022-07-31 18:00:05,1906.65,2391.78,2043.34,2412.34
105,2022-07-31 19:00:05,1906.95,2392.05,2042.18,2412.65
106,2022-07-31 20:00:05,1906.66,2391.76,2042.71,2412.23
107,2022-07-31 21:00:05,1906.94,2391.93,2042.61,2412.34
108,2022-07-31 22:00:05,1906.45,2391.74,2043.34,2412.55
109,2022-07-31 23:00:05,1906.42,2391.82,2042.5,2412.13
110,2022-08-01 14:00:06,1904.9,2390.67,2042.92,2410.65
111,2022-08-01 15:00:06,1904.36,2390.86,2042.29,2411.18
112,2022-08-01 16:00:05,1906.13,2390.85,2042.71,2410.76
113,2022-08-01 17:00:05,1906.91,2391.33,2041.66,2411.39
114,2022-08-01 18:00:05,1906.56,2391.14,2042.08,2411.49
115,2022-08-01 19:00:05,1906.66,2391.36,2041.66,2411.39
116,2022-08-01 20:00:05,1907.26,2391.45,2042.08,2411.6
117,2022-08-01 21:00:05,1906.47,2391.17,2042.5,2411.81
118,2022-08-01 22:00:05,1906.6,2391.33,2041.76,2411.28
119,2022-08-01 23:00:05,1906.71,2391.91,2042.29,2412.02
120,2022-08-03 15:00:06,1905.81,2391.6,2042.18,2411.28
121,2022-08-03 16:00:06,1906.2,2390.85,2042.39,2410.48
122,2022-08-03 17:00:06,1907.07,2391.64,2041.67,2410.36
123,2022-08-03 18:00:06,1906.64,2391.64,2042.29,2411.18
124,2022-08-03 19:00:05,1906.19,2392.03,2043.44,2411.87
125,2022-08-03 20:00:05,1907.39,2391.79,2043.03,2412.23
126,2022-08-03 21:00:05,1906.65,2392.92,2042.82,2411.81
127,2022-08-03 22:00:05,1906.52,2392.41,2039.13,2411.1
128,2022-08-03 23:00:05,1906.28,2392.32,2039.62,2410.98
129,2022-08-04 12:00:06,1901.65,2392,2040.39,2410.76
130,2022-08-04 13:00:06,1903.2,2390.7,2040.87,2409.61
131,2022-08-04 14:00:06,1903.86,2391.56,2040.95,2410.32
132,2022-08-04 15:00:06,1905.56,2391.79,2041.57,2410.27
133,2022-08-04 16:00:06,1905.66,2390.85,2042.95,2409.67
134,2022-08-04 17:00:06,1906.58,2390.18,2044.37,2409.96
135,2022-08-04 18:00:06,1907.4,2390.17,2044.01,2409.97
136,2022-08-04 19:00:06,1908.14,2390.51,2044.03,2409.85
137,2022-08-04 20:00:05,1908.38,2390.83,2042.78,2409.69
138,2022-08-04 21:00:05,1907.27,2392.32,2041.97,2412.34
139,2022-08-04 22:00:05,1906.53,2392.26,2039.97,2411.31
140,2022-08-04 23:00:05,1906.38,2392.23,2043.45,2413.08
141,2022-08-05 06:00:05,1905.67,2392.95,2043.09,2412.77
142,2022-08-05 07:00:05,1905.89,2393.06,2039,2412.01
143,2022-08-05 08:00:05,1906.27,2393.11,2040.53,2412.36
144,2022-08-05 09:00:05,1905.8,2392.84,2041.76,2412.55
145,2022-08-05 10:00:06,1905.17,2392.95,2040.31,2412.12
146,2022-08-05 11:00:06,1905.77,2392.78,2041.57,2412.1
147,2022-08-05 12:00:06,1904.87,2392.36,2040.56,2411.42
148,2022-08-05 13:00:06,1904.81,2392.4,2043.84,2412.21
149,2022-08-05 14:00:06,1905.2,2392.35,2042.18,2411.92
150,2022-08-05 15:00:06,1905.48,2392.48,2042.86,2411.89
151,2022-08-05 16:00:06,1906.36,2391.68,2041.73,2410.82
152,2022-08-05 17:00:06,1906.4,2392.56,2042.46,2411.9
153,2022-08-05 18:00:06,1907.03,2392.38,2044.63,2412.11
154,2022-08-05 19:00:06,1907.66,2391.56,2042.8,2410.47
155,2022-08-05 20:00:05,1906.65,2392.56,2043.49,2412.41
156,2022-08-05 21:00:06,1906.83,2393.05,2040.62,2412.48
157,2022-08-05 22:00:05,1907.14,2393.72,2040.16,2412.42
158,2022-08-05 23:00:05,1906.76,2393.43,2040.56,2412.69
159,2022-08-06 06:00:05,1906.26,2392.68,2041.01,2412.48
160,2022-08-06 07:00:05,1907.03,2392.89,2040.48,2412.56
161,2022-08-06 08:00:05,1906.88,2393.37,2041.55,2413.5
162,2022-08-06 09:00:05,1901.52,2392.64,2041.45,2411.39
163,2022-08-06 10:00:05,1901.65,2391.88,2041.87,2411.81
164,2022-08-06 11:00:05,1903.05,2392.51,2041.45,2411.49
165,2022-08-06 12:00:06,1904.95,2392.42,2043,2412.13
166,2022-08-06 13:00:06,1905.02,2392.45,2042.51,2412.2
167,2022-08-06 14:00:06,1904.86,2392.46,2042.16,2412.24
168,2022-08-06 15:00:06,1905.46,2392.86,2042.85,2412.15
169,2022-08-06 16:00:06,1906.2,2391.31,2042.9,2411.02
170,2022-08-06 17:00:06,1906.69,2391.27,2042.48,2410.53
171,2022-08-06 18:00:06,1905.44,2392.8,2040.82,2411.95
172,2022-08-06 19:00:06,1905.82,2392.96,2041.73,2412.28
173,2022-08-06 20:00:06,1906.83,2392.61,2042.29,2412.4
174,2022-08-06 21:00:06,1906.8,2393.29,2042.92,2412.83
175,2022-08-07 14:00:06,1904.08,2391.74,2041.55,2411.02
176,2022-08-07 15:00:06,1904.81,2392.05,2044.11,2411.9
177,2022-08-07 16:00:06,1905.86,2391.53,2043.02,2410.92
178,2022-08-07 17:00:06,1907.53,2391.02,2043.92,2410.22
179,2022-08-07 18:00:06,1907.42,2391.32,2042.35,2410.98
180,2022-08-07 19:00:06,1907.83,2391.11,2043.18,2410.99
181,2022-08-07 20:00:06,1908.16,2391.4,2044.41,2411.83
182,2022-08-07 21:00:06,1906.76,2393.06,2042.03,2412.84
183,2022-08-07 22:00:06,1906.71,2393.05,2042.82,2413.6
184,2022-08-08 06:00:05,1906.12,2392.92,2042.82,2413.18
185,2022-08-08 07:00:05,1906.15,2392.93,2042.27,2412.98
186,2022-08-08 08:00:05,1906.17,2393.35,2042.32,2413.07
187,2022-08-08 09:00:05,1904.16,2392.63,2043.13,2413.39
188,2022-08-08 10:00:05,1905.45,2392.83,2042.82,2412.65
189,2022-08-08 11:00:05,1905.16,2392.75,2043.21,2412.64
190,2022-08-08 12:00:05,1905.29,2392.31,2043.14,2412.48
191,2022-08-08 13:00:05,1905.64,2392.43,2043.15,2412.57
192,2022-08-08 14:00:05,1905.79,2392.35,2042.35,2412.23
193,2022-08-08 15:00:06,1905.73,2392.52,2043.15,2412.45
194,2022-08-08 16:00:06,1905.5,2392.44,2042.42,2412.48
195,2022-08-08 17:00:06,1905.51,2392.4,2042.24,2412.27
196,2022-08-08 18:00:06,1905.96,2392.57,2042.4,2412.25
197,2022-08-08 19:00:06,1906.23,2391.88,2043.08,2412.12
198,2022-08-08 20:00:06,1906.32,2392.61,2042.82,2412.51
199,2022-08-08 21:00:06,1906.11,2392.56,2042.2,2412.67
200,2022-08-08 22:00:06,1906.57,2393.12,2042.11,2412.71
201,2022-08-09 06:00:05,1906.78,2392.92,2042.16,2412.8
202,2022-08-09 07:00:05,1905.97,2392.86,2041.45,2412.92
203,2022-08-09 08:00:05,1906.01,2393.06,2041.66,2413.39
204,2022-08-09 09:00:05,1904.01,2392.35,2041.34,2412.02
205,2022-08-09 10:00:05,1902.92,2392.49,2042.05,2412.41
206,2022-08-09 11:00:05,1902.45,2392.79,2042.71,2412.52
207,2022-08-09 12:00:05,1902.56,2392.1,2041.59,2411.71
208,2022-08-09 13:00:05,1903.37,2392.07,2042.56,2411.83
209,2022-08-09 14:00:05,1904.08,2392.62,2042.68,2412.04
210,2022-08-09 15:00:05,1905.09,2392.45,2042.91,2412.42
211,2022-08-09 16:00:06,1905.33,2391.94,2042.95,2412.2
212,2022-08-09 17:00:06,1906.61,2392.04,2044.2,2411.69
213,2022-08-09 18:00:06,1906.83,2391.59,2043.43,2411.7
214,2022-08-09 19:00:06,1907.28,2391.31,2044.62,2412.07
215,2022-08-09 20:00:06,1907.38,2392.77,2043.63,2413.19
216,2022-08-09 21:00:06,1906.77,2393.34,2043.79,2413.46
217,2022-08-09 22:00:06,1906.42,2393.14,2044.12,2413.55
218,2022-08-10 06:00:05,1906.27,2393.25,2043.08,2413.17
219,2022-08-10 07:00:05,1906.43,2393.12,2041.62,2413.11
220,2022-08-10 08:00:05,1906.66,2393.07,2042.52,2413.57
221,2022-08-10 09:00:05,1906.04,2393.2,2042.22,2414.02
222,2022-08-10 10:00:05,1905.88,2392.77,2043.16,2414.32
223,2022-08-10 11:00:05,1905.44,2392.92,2041.4,2414.51
224,2022-08-10 12:00:05,1905.57,2392.85,2042.3,2414.93
225,2022-08-10 13:00:05,1905.64,2393.38,2043.57,2414.37
226,2022-08-10 14:00:05,1905.46,2393.49,2042.91,2414.36
227,2022-08-10 15:00:05,1906.17,2392.98,2043.08,2413.51
228,2022-08-10 16:00:05,1905.96,2392.9,2043.02,2413.01
229,2022-08-10 17:00:06,1906.02,2392.91,2042.79,2412.86
230,2022-08-10 18:00:06,1906,2392.87,2043.72,2413.04
231,2022-08-10 19:00:06,1906.3,2393.1,2042.3,2412.9
232,2022-08-10 20:00:06,1907.45,2391.62,2044.5,2412.79
233,2022-08-10 21:00:06,1906.9,2392.96,2042.54,2413.1
234,2022-08-10 22:00:06,1906.52,2392.84,2042.58,2413.33
235,2022-08-11 06:00:05,1906.19,2393.38,2042.71,2413.17
236,2022-08-11 07:00:05,1906.39,2393.08,2043.07,2413.45
237,2022-08-11 08:00:05,1906.83,2393.3,2042.59,2413.39
238,2022-08-11 09:00:05,1906.16,2393.24,2042.92,2413.6
239,2022-08-11 10:00:05,1905.6,2393.11,2042.82,2413.08
240,2022-08-11 11:00:05,1905.26,2392.93,2043.07,2412.99
241,2022-08-11 12:00:05,1901.9,2391.89,2042.39,2412.55
242,2022-08-11 13:00:05,1905.14,2392.58,2042.73,2412.61
243,2022-08-11 14:00:05,1905.1,2392.78,2042.39,2412.76
244,2022-08-11 15:00:05,1905.32,2393.3,2042.61,2412.65
